i,w,iq,w-w_hat
0,300.0,0.13500000536441803,200.0
0,299.9791564941406,12.0,199.97915649414062
0,306.5174255371094,12.0,206.51742553710938
0,313.0536193847656,12.0,213.05361938476562
0,319.5877380371094,12.0,219.58773803710938
0,326.1197814941406,12.0,226.11978149414062
0,332.6497802734375,12.0,232.6497802734375
0,339.1776123046875,12.0,239.1776123046875
0,345.703369140625,12.0,245.703369140625
0,352.2270812988281,12.0,252.22708129882812
0,358.74871826171875,12.0,258.74871826171875
0,365.2682800292969,12.0,265.2682800292969
0,371.7857666015625,12.0,271.7857666015625
0,378.3011779785156,12.0,278.3011779785156
0,384.8145446777344,12.0,284.8145446777344
0,391.3258361816406,12.0,291.3258361816406
0,397.8350524902344,12.0,297.8350524902344
0,404.3421936035156,12.0,304.3421936035156
0,410.8472595214844,12.0,310.8472595214844
0,417.35028076171875,12.0,317.35028076171875
0,423.8512268066406,12.0,323.8512268066406
0,430.35009765625,12.0,330.35009765625
0,436.8468933105469,12.0,336.8468933105469
0,443.34161376953125,12.0,343.34161376953125
0,449.83428955078125,12.0,349.83428955078125
0,456.32489013671875,12.0,356.32489013671875
0,462.81341552734375,12.0,362.81341552734375
0,469.29986572265625,12.0,369.29986572265625
0,475.78424072265625,12.0,375.78424072265625
0,482.2665710449219,12.0,382.2665710449219
0,488.746826171875,12.0,388.746826171875
0,495.2250061035156,12.0,395.2250061035156
0,501.70111083984375,12.0,401.70111083984375
0,508.1751403808594,12.0,408.1751403808594
0,514.6470947265625,12.0,414.6470947265625
0,521.1170654296875,12.0,421.1170654296875
0,527.5849609375,12.0,427.5849609375
0,534.05078125,12.0,434.05078125
0,540.5145874023438,12.0,440.51458740234375
0,546.976318359375,12.0,446.976318359375
0,553.4359741210938,12.0,453.43597412109375
0,559.8935546875,12.0,459.8935546875
0,566.3490600585938,12.0,466.34906005859375
0,572.802490234375,12.0,472.802490234375
0,579.2538452148438,12.0,479.25384521484375
0,585.703125,12.0,485.703125
0,592.1505126953125,12.0,492.1505126953125
0,598.5958251953125,12.0,498.5958251953125
0,605.0390625,12.0,505.0390625
0,611.480224609375,12.0,511.480224609375
0,617.9193115234375,12.0,517.9193115234375
0,624.3563232421875,12.0,524.3563232421875
0,630.7913208007812,12.0,530.7913208007812
0,637.2242431640625,12.0,537.2242431640625
0,643.6552124023438,12.0,543.6552124023438
0,650.0841064453125,12.0,550.0841064453125
0,656.510986328125,12.0,556.510986328125
0,662.935791015625,12.0,562.935791015625
0,669.3585205078125,12.0,569.3585205078125
0,675.7791748046875,12.0,575.7791748046875
0,682.19775390625,12.0,582.19775390625
0,688.6144409179688,12.0,588.6144409179688
0,695.029052734375,12.0,595.029052734375
0,701.4415893554688,12.0,601.4415893554688
0,707.85205078125,12.0,607.85205078125
0,714.2604370117188,12.0,614.2604370117188
0,720.666748046875,12.0,620.666748046875
0,727.0711669921875,12.0,627.0711669921875
0,733.4735107421875,12.0,633.4735107421875
0,739.873779296875,12.0,639.873779296875
0,746.27197265625,12.0,646.27197265625
0,752.6680908203125,12.0,652.6680908203125
0,759.0623168945312,12.0,659.0623168945312
0,765.4544677734375,12.0,665.4544677734375
0,771.8445434570312,12.0,671.8445434570312
0,778.2325439453125,12.0,678.2325439453125
0,784.61865234375,12.0,684.61865234375
0,791.002685546875,12.0,691.002685546875
0,797.3846435546875,12.0,697.3846435546875
0,803.7645263671875,12.0,703.7645263671875
0,810.142333984375,12.0,710.142333984375
0,816.5182495117188,12.0,716.5182495117188
0,822.89208984375,12.0,722.89208984375
0,829.2638549804688,12.0,729.2638549804688
0,835.6336059570312,12.0,735.6336059570312
0,842.0014038085938,12.0,742.0014038085938
0,848.3671264648438,12.0,748.3671264648438
0,854.7307739257812,12.0,754.7307739257812
0,861.092529296875,12.0,761.092529296875
